Symbol,Profit
PRO,0
MCBC,1
LINC,0
FLDM,0
ECHO,1
DISH,0
NRCIA,1
NAT,0
FTNT,1
GIS,1
ASC,0
WRE,1
QRHC,0
ROST,1
HIBB,0
HIL,1
NTRS,1
VRTX,1
WAGE,1
IO,0
ZBH,1
BMI,1
GPT,1
DY,1
NUVA,1
YUME,0
CMS,1
ATNI,1
TEN,1
EXC,1
ORI,1
LYB,1
REI,1
MACK,0
PEP,1
AAMC,0
CBRL,1
PACW,1
AXP,1
FPRX,1
SAFT,1
GES,0
BDGE,1
ARW,1
ICON,0
MHLD,0
HZO,1
NYMT,1
ASTE,1
SPR,1
ACXM,0
COLM,1
AIMC,1
TECD,1
DYN,0
IBTX,1
CRZO,0
NATH,1
NWLI,1
MYGN,1
TRNO,1
LRN,0
LEE,0
NRIM,1
TRGP,0
BDN,1
WNC,1
NCI,1
IBCP,1
FBNC,1
INCY,1
SRDX,1
NPK,1
RSG,1
HSY,1
SNPS,1
TSCO,1
BKH,1
HY,0
HMST,1
HST,1
SEIC,1
LL,0
STL,1
RTN,1
GLRE,0
VTR,1
XRX,0
TPC,1
BZH,0
SNV,1
SAFM,1
CBK,0
LEA,1
ISRL,0
PATK,1
CMO,1
SYX,1
OSIS,1
OLED,1
MTRN,1
UHAL,1
CUB,1
PX,1
IPCC,1
ETR,1
RBCN,0
CNO,1
STAG,1
BR,1
ELGX,0
FII,1
AMSF,1
RS,1
SLRC,1
UVV,1
VG,1
DEL,1
MOV,0
BLMN,0
DJCO,1
BKE,0
HMTV,0
IMMU,1
CBL,0
MCF,0
FOE,1
KRG,0
VAR,1
CORE,1
DGICA,1
NPO,1
GPK,1
WSO,1
MAN,1
FCN,1
GWW,1
CCOI,1
HA,1
LCI,0
BMS,1
HLF,0
KRC,1
WAL,1
HSII,1
RELL,0
CE,1
FCFS,1
TNDM,0
SYNA,0
ARTNA,1
BBGI,1
TAHO,0
MDXG,1
TLYS,1
WRB,1
EBF,1
LPNT,0
CR,1
BMY,1
SFNC,1
XCRA,1
CI,1
TRK,1
COWN,0
TAX,0
BBSI,0
CASY,1
SUP,0
BHLB,1
MSEX,1
DAL,1
SSYS,0
FL,1
ADC,1
EGY,0
HFC,1
SSNI,0
MO,1
FICO,1
DKS,0
V,1
MTN,1
JCI,1
CMRX,0
AINV,1
GOGO,0
HPQ,1
TAL,1
UPS,1
FNB,1
EXP,1
ATRI,1
HTGC,1
LB,1
MAR,1
NFBK,1
MTD,1
WEC,1
CARB,1
TSC,1
UTX,1
CCMP,1
CHK,0
ARQL,0
ARNA,0
NPTN,0
ATSG,1
BLDR,1
CHEF,0
DOV,1
NEE,1
DBD,0
TGT,1
SGYP,0
APAM,0
DHR,1
VSH,1
ADI,1
SBAC,1
GPRE,0
ESS,1
BABY,1
ALKS,1
SGEN,1
G,1
KAR,1
BAC,1
TREC,1
VIAB,0
AOS,1
CCL,1
ROLL,1
EROS,0
RYN,1
TRS,0
CAH,0
GHDX,1
ABM,1
GLUU,0
UMH,1
GIFI,0
VSI,0
AIR,1
TTGT,1
OMI,0
CACI,1
JBHT,1
NHI,1
DIN,0
PTEN,0
CRI,1
JWN,0
KIN,0
ESRX,1
SMCI,1
CPS,1
PCYG,0
ATU,0
VICL,0
PODD,1
CYTX,0
BSRR,1
STC,1
EXPE,1
SASR,1
SGY,0
TWO,0
KR,1
ETM,1
NKSH,1
PBF,1
PENN,1
STBZ,1
VTNR,0
NWPX,0
MBWM,1
AMWD,1
TPRE,0
AMT,1
OXM,1
SDRL,0
ARRY,1
EGBN,1
DEPO,0
FISV,1
CHCO,1
PCG,1
TDY,1
DXCM,1
MGEE,1
CROX,0
ARRS,1
AVEO,1
TESS,0
WHF,1
CVGI,1
STWD,1
GSM,0
SB,0
PLAB,0
ABAX,1
VRTS,0
JCOM,1
TPX,1
LMNX,1
TPH,0
CORR,1
CFFI,1
SSI,0
MDCO,0
SBNY,1
KNL,1
FMI,1
NMIH,1
CWST,1
MDCA,0
BXC,0
MXL,1
I,0
SF,1
SPPI,1
KEG,0
RGC,1
ESNT,1
ATHN,1
GRMN,1
HAL,1
HRTX,1
UBA,1
ANCX,1
REGN,1
OIS,0
EGOV,0
UFCS,1
TTEK,1
GS,1
LDL,1
SCHN,1
XLNX,1
PEGA,1
UBNK,1
MNTA,0
ITW,1
SVU,0
CZR,0
HAS,1
HCI,0
ABMD,1
AVGO,1
NFG,0
NBIX,1
ANGO,1
SPLK,1
VLO,1
WMGI,0
AZO,1
NEM,1
GLOG,1
WSBC,1
HOMB,1
FOX,1
MNR,1
KIM,1
ORCL,1
PKG,1
LXU,0
XEC,1
QUIK,0
CACC,1
AEP,1
SEE,1
NSM,0
DAR,0
ERA,0
ISCA,1
FLIC,1
BANR,1
PTIE,0
XXII,1
INSM,1
AMPE,0
QUAD,1
SWK,1
ISSC,0
BLUE,1
CASH,1
EQIX,1
STRA,1
WTI,0
SKT,0
BG,0
PPC,1
PZG,1
TCO,1
VPG,1
CNSL,0
HRC,1
AFH,1
PZN,1
CLDX,0
SALM,0
LION,1
NYLD,0
BJRI,1
VRNT,0
GGG,0
ICE,1
AGO,1
GBL,0
TWIN,1
LORL,0
MTG,1
WLK,1
IXYS,1
PTSI,1
CVX,1
GCO,0
